Taxa_group,Phylum,Order,Family,Genus,Species,Final_ID,Primer_name
Mammal,Chordata,Rodentia,Castoridae,Castor,canadensis,Castor_canadensis,COIFishdegen
Mammal,Chordata,Rodentia,Cricetidae,Ondatra,zibethicus,Ondatra_zibethicus,COIFishdegen
Fish,Chordata,Salmoniformes,Salmonidae,Coregonus,clupeaformis,Coregonus_clupeaformis,COIFishdegen
Fish,Chordata,Scorpaeniformes,Gasterosteidae,Culaea,inconstans,Culaea_inconstans,COIFishdegen
Fish,Chordata,Siluriformes,Ictaluridae,Ameiurus,natalis,Ameiurus_natalis,COIFishdegen
Fish,Chordata,Siluriformes,Ictaluridae,Ameiurus,nebulosus,Ameiurus_nebulosus,COIFishdegen
Turtle,Chordata,Testudines,Chelydridae,Chelydra,serpentina,Chelydra_serpentina,COIFishdegen
Turtle,Chordata,Testudines,Kinosternidae,Sternotherus,odoratus,Sternotherus_odoratus,COIFishdegen
Invertebrate,Annelida,Crassiclitellata,Lumbricidae,Octolasion,tyrtaeum,Octolasion_tyrtaeum,fwhEPTD
Invertebrate,Annelida,Hirudinida,Hirudinidae,Macrobdella,decora,Macrobdella_decora,fwhEPTD
Invertebrate,Annelida,Tubificida,Naididae,Arcteonais,lomondi,Arcteonais_lomondi,fwhEPTD
Invertebrate,Annelida,Tubificida,Naididae,Chaetogaster,diaphanus,Chaetogaster_diaphanus,fwhEPTD
Invertebrate,Annelida,Tubificida,Naididae,Chaetogaster,diastrophus,Chaetogaster_diastrophus,fwhEPTD
Invertebrate,Annelida,Tubificida,Naididae,Ilyodrilus,templetoni,Ilyodrilus_templetoni,fwhEPTD
Invertebrate,Annelida,Tubificida,Naididae,Nais,communis,Nais_communis,fwhEPTD
Invertebrate,Annelida,Tubificida,Naididae,Slavina,appendiculata,Slavina_appendiculata,fwhEPTD
Invertebrate,Annelida,Tubificida,Naididae,Specaria,josinae,Specaria_josinae,fwhEPTD
Invertebrate,Annelida,Tubificida,Naididae,Stylaria,lacustris,Stylaria_lacustris,fwhEPTD
Invertebrate,Arthropoda,Amphipoda,Hyalellidae,Hyalella,azteca,Hyalella_azteca,fwhEPTD
Invertebrate,Arthropoda,Calanoida,Pontellidae,,,Pontellidae,fwhEPTD
Invertebrate,Arthropoda,Calanoida,Temoridae,Eurytemora,affinis,Eurytemora_affinis,fwhEPTD
Invertebrate,Arthropoda,Cyclopoida,Cyclopidae,Acanthocyclops,,Acanthocyclops_sp,fwhEPTD
Invertebrate,Arthropoda,Cyclopoida,Cyclopidae,Cyclops,,Cyclops_sp,fwhEPTD
Invertebrate,Arthropoda,Diplostraca,Bosminidae,Bosmina,liederi,Bosmina_liederi,fwhEPTD
Invertebrate,Arthropoda,Diplostraca,Bosminidae,Bosmina,longirostris,Bosmina_longirostris,fwhEPTD
Invertebrate,Arthropoda,Diplostraca,Chydoridae,Chydorus,brevilabris,Chydorus_brevilabris,fwhEPTD
Invertebrate,Arthropoda,Diplostraca,Eurycercidae,Eurycercus,longirostris,Eurycercus_longirostris,fwhEPTD
Invertebrate,Arthropoda,Diptera,Chaoboridae,Chaoborus,punctipennis,Chaoborus_punctipennis,fwhEPTD
Invertebrate,Arthropoda,Diptera,Chironomidae,Ablabesmyia,americana,Ablabesmyia_americana,fwhEPTD
Invertebrate,Arthropoda,Diptera,Chironomidae,Chironomus,dilutus,Chironomus_dilutus,fwhEPTD
Invertebrate,Arthropoda,Diptera,Chironomidae,Cladotanytarsus,nigrovittatus,Cladotanytarsus_nigrovittatus,fwhEPTD
Invertebrate,Arthropoda,Diptera,Chironomidae,Corynoneura,,Corynoneura_sp,fwhEPTD
Invertebrate,Arthropoda,Diptera,Chironomidae,Cricotopus,bicinctus,Cricotopus_bicinctus,fwhEPTD
Invertebrate,Arthropoda,Diptera,Chironomidae,Cricotopus,triannulatus,Cricotopus_triannulatus,fwhEPTD
Invertebrate,Arthropoda,Diptera,Chironomidae,Cryptochironomus,,Cryptochironomus_sp,fwhEPTD
Invertebrate,Arthropoda,Diptera,Chironomidae,Dicrotendipes,modestus,Dicrotendipes_modestus,fwhEPTD
Invertebrate,Arthropoda,Diptera,Chironomidae,Dicrotendipes,tritomus,Dicrotendipes_tritomus,fwhEPTD
Invertebrate,Arthropoda,Diptera,Chironomidae,Einfeldia,,Einfeldia_sp,fwhEPTD
Invertebrate,Arthropoda,Diptera,Chironomidae,Microtendipes,,Microtendipes_sp,fwhEPTD
Invertebrate,Arthropoda,Diptera,Chironomidae,Orthocladius,oliveri,Orthocladius_oliveri,fwhEPTD
Invertebrate,Arthropoda,Diptera,Chironomidae,Parachironomus,tenuicaudatus,Parachironomus_tenuicaudatus,fwhEPTD
